,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
312,Kathmandu,Tejvinayak Chowk,East,4,2,1,85.0,13.0,1026.72,14500000.0
314,Kathmandu,"Thali, Danchhi",East,4,2,2,85.0,10.0,4106.88,13500000.0
316,Kathmandu,Kapan,West,5,4,2,85.0,13.0,85.56,35000000.0
318,Kathmandu,New Baneswor,North East,4,4,1,425.0,13.0,3422.4,105000000.0
320,Kathmandu,Buddhanilkantha,East,6,4,2,85.0,20.0,1711.2,47500000.0
322,Kathmandu,"Budhanilkantha,Mahankal",East,4,4,1,170.0,13.0,2737.92,35000000.0
324,Kathmandu,"Budhanilkantha,Mahankal",North,5,4,1,170.0,16.0,1711.2,47500000.0
326,Kathmandu,"Budhanilkantha,Mahakal",East,7,3,2,22.0,20.0,342.24,42500000.0
328,Kathmandu,"Thulobharwang,Swyambhu",East,7,5,3,22.0,12.0,342.24,27000000.0
330,Kathmandu,Budhanilkantha,East,6,3,2,170.0,13.0,1711.2,47500000.0
332,Kathmandu,Lampati Kalanki,South East,3,3,1,22.0,13.0,21.39,32000000.0
334,Kathmandu,Chandol   Naxal,East,3,3,2,170.0,12.0,27379.2,56000000.0
336,Kathmandu,Baneshwor,East,5,4,1,425.0,13.0,10951.68,70000000.0
338,Kathmandu,Deuba Chowk,East,8-12,4,1,425.0,13.0,2737.92,55600000.0
340,Kathmandu,Baluwakhani,West,7,4,3,170.0,13.0,3080.16,65000000.0
342,Kathmandu,Bouddha,South East,7,4,2,85.0,13.0,342.24,38000000.0
344,Kathmandu,Budhanilkantha,East,4,5,1,170.0,20.0,2395.68,75000000.0
346,Kathmandu,"Jitpurroad,Tarakeshwor",West,2,1,1,85.0,26.0,10951.68,19500000.0
348,Kathmandu,Makalbari,East,1,1,1,22.0,,17112.0,15500000.0
350,Kathmandu,Opposite To Siddhartha Hall,West,1,1,1,22.0,30.0,128.34,30000000.0
352,Kathmandu,"Budhanilkantha, Kathmandu",East,6,5,2,85.0,13.0,1368.96,39000000.0
354,Kathmandu,Hattigauda,North,7,6,15,425.0,17.0,32085.0,50000000.0
356,Kathmandu,Teku,South West,1,1,1,22.0,,21.39,16000000.0
358,Kathmandu,"Shantinagar, New Baneshwor",South,6,4,3,85.0,10.0,1026.72,42500000.0
360,Kathmandu,Bir Hospital,East,1,1,5,22.0,6.0,14973.0,60000000.0
362,Kathmandu,Banedwor Height,North East,2,2,12,850.0,20.0,4106.88,120000000.0
364,Kathmandu,Near Karuna Hospital,West,6,4,11,85.0,13.0,21.39,27500000.0
366,Kathmandu,Near Kapan Gumba,East,5,3,11,85.0,10.0,1026.72,22500000.0
368,Kathmandu,Hariyali Nagar,East,3,4,6,22.0,20.0,27379.2,33000000.0
370,Kathmandu,Oppsite To Mandikatar Bigmart,East,3,3,11,22.0,13.0,1026.72,25000000.0
372,Kathmandu,Dhumbhari Pipalchock Main Road,South East,3,3,1,170.0,20.0,1711.2,55000000.0
374,Kathmandu,Iscon Nepal,East,1,1,1,85.0,16.0,32085.0,29000000.0
376,Kathmandu,Bhangal Height,South West,4,4,9,22.0,13.0,342.24,25000000.0
378,Kathmandu,Goldhunga,East,2,1,4,85.0,13.0,1026.72,10500000.0
380,Kathmandu,Gokarna,East,4,3,7,85.0,13.0,1026.72,19500000.0
382,Kathmandu,"Golfutar, Near Navaraj & Niraj Sekuwa",South East,5,4,12,425.0,,171.12,67500000.0
384,Kathmandu,"Kageshwori Manohara-01, Brahmakhel",West,5,3,10,425.0,20.0,3443.79,29000000.0
386,Kathmandu,Kapurdhara,North,5,4,9,22.0,4.0,342.24,33000000.0
388,Kathmandu,Kalimati-Kalanki Highway,East,1,1,1,22.0,20.0,21.39,84999000.0
390,Kathmandu,Maharajgunj,East,5,4,1,170.0,13.0,1368.96,90000000.0
392,Kathmandu,Gothatar,East,5,3,9,85.0,20.0,1368.96,30000000.0
394,Kathmandu,Near Ganesh Chowk,East,4,3,1,85.0,,25668.0,31500000.0
396,Kathmandu,Akasay Dara Mainali Mail,East,3,3,1,22.0,,342.24,110000000.0
398,Kathmandu,Gothatar,South,2,1,4,85.0,13.0,1026.72,15500000.0
400,Kathmandu,Kadaghari,East,6,4,11,22.0,13.0,1026.72,21700000.0
402,Kathmandu,Gothatar,East,5,4,10,85.0,13.0,1368.96,26200000.0
404,Kathmandu,Swayambhu,East,6,5,11,85.0,16.0,1048.11,30500000.0
406,Kathmandu,Gothatar,East,2,2,4,170.0,13.0,1026.72,17500000.0
408,Kathmandu,Sundar Basti,East,4,4,10,170.0,13.0,1283.4,35000000.0
410,Kathmandu,Bhangal,South,6,4,10,85.0,13.0,1069.5,31500000.0
412,Kathmandu,Bhangal,East,6,4,10,85.0,13.0,1026.72,27000000.0
414,Kathmandu,Imadol,East,5,4,10,85.0,13.0,1026.72,24500000.0
416,Kathmandu,Kapan,West,5,3,9,425.0,13.0,2053.44,32500000.0
418,Kathmandu,150 Meters From Deuba Residendent,East,3,3,5,170.0,13.0,30117.12,72500000.0
420,Kathmandu,Machhegau,North,7,4,11,85.0,13.0,1197.84,23000000.0
422,Kathmandu,Gyaneshwor,South,6,4,13+,425.0,14.0,2053.44,57000000.0
424,Kathmandu,Kapan Durgamandir,East,1,1,9,22.0,8.0,684.48,15000000.0
426,Kathmandu,Ghatta Chowk,North East,2,1,1,170.0,12.0,1026.72,16000000.0
428,Kathmandu,Chamati,East,4,3,1,22.0,26.0,342.24,28000000.0
430,Kathmandu,Sukedhara,East,1,1,1,22.0,20.0,342.24,24000000.0
